test_case,observable,method,noise_level,derivative_order,rmse,eval_time,fit_time,success,implementation,mae,max_error,category
brusselator,X(t),Polynomial_Python,0.0,1,1.5181087966675502,0.2627344131469726,0.0141270160675048,True,Python,,,
brusselator,X(t),Polynomial_Python,0.0,2,,0.2627344131469726,0.0141270160675048,True,Python,,,
brusselator,X(t),Polynomial_Python,0.0,3,,0.2627344131469726,0.0141270160675048,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.0,0,0.3588511017855398,0.001800537109375,0.0016627311706542,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.0,1,1.3588051653687394,0.001800537109375,0.0016627311706542,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.0,2,7.195771775520639,0.001800537109375,0.0016627311706542,True,Python,,,
brusselator,X(t),SavitzkyGolay_Python,0.0,3,102.24188704492003,0.001800537109375,0.0016627311706542,True,Python,,,
brusselator,X(t),Butterworth_Python,0.0,0,0.7280122858973829,0.0035483837127685,0.003401756286621,True,Python,,,
brusselator,X(t),Butterworth_Python,0.0,1,1.5289299759791777,0.0035483837127685,0.003401756286621,True,Python,,,
brusselator,X(t),Butterworth_Python,0.0,2,7.169509067051327,0.0035483837127685,0.003401756286621,True,Python,,,
brusselator,X(t),Butterworth_Python,0.0,3,102.12559235991768,0.0035483837127685,0.003401756286621,True,Python,,,
brusselator,X(t),RandomForest_Python,0.0,0,0.078973028681453,0.1125485897064209,0.1065990924835205,True,Python,,,
brusselator,X(t),RandomForest_Python,0.0,1,,0.1125485897064209,0.1065990924835205,True,Python,,,
brusselator,X(t),RandomForest_Python,0.0,2,,0.1125485897064209,0.1065990924835205,True,Python,,,
brusselator,X(t),RandomForest_Python,0.0,3,,0.1125485897064209,0.1065990924835205,True,Python,,,
brusselator,X(t),SVR_Python,0.0,0,0.7765221492206431,0.4145352840423584,0.014749526977539,True,Python,,,
brusselator,X(t),SVR_Python,0.0,1,1.527829918711765,0.4145352840423584,0.014749526977539,True,Python,,,
brusselator,X(t),SVR_Python,0.0,2,7.1697688787162726,0.4145352840423584,0.014749526977539,True,Python,,,
brusselator,X(t),SVR_Python,0.0,3,102.12512421793032,0.4145352840423584,0.014749526977539,True,Python,,,
brusselator,X(t),Fourier_Python,0.0,0,0.1857601688029514,0.0020711421966552,0.0012743473052978,True,Python,,,
brusselator,X(t),Fourier_Python,0.0,1,1.079481737728227,0.0020711421966552,0.0012743473052978,True,Python,,,
brusselator,X(t),Fourier_Python,0.0,2,6.879067383356565,0.0020711421966552,0.0012743473052978,True,Python,,,
brusselator,X(t),Fourier_Python,0.0,3,101.81896869680122,0.0020711421966552,0.0012743473052978,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.0,0,1.1047131989294515e-17,0.000472068786621,0.000298261642456,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.0,1,0.2976007964397337,0.000472068786621,0.000298261642456,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.0,2,3.0123734646418576,0.000472068786621,0.000298261642456,True,Python,,,
brusselator,X(t),FiniteDiff_Python,0.0,3,66.8821824349146,0.000472068786621,0.000298261642456,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.0,0,0.0026731077669364,69.55929279327393,55.90341854095459,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.0,1,1.090458962133149,69.55929279327393,55.90341854095459,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.0,2,7.069501564544099,69.55929279327393,55.90341854095459,True,Python,,,
brusselator,X(t),AAA_LS_Python,0.0,3,77.68665053108414,69.55929279327393,55.90341854095459,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.0,0,0.0012587267539939,28.216020345687863,17.94839072227478,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.0,1,1.069063152331717,28.216020345687863,17.94839072227478,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.0,2,6.89686673432104,28.216020345687863,17.94839072227478,True,Python,,,
brusselator,X(t),AAA_FullOpt_Python,0.0,3,106841307.14450364,28.216020345687863,17.94839072227478,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.0,0,0.0320844121653761,1.0714397430419922,0.353748083114624,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.0,1,0.4657149873934333,1.0714397430419922,0.353748083114624,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.0,2,4.420868697322324,1.0714397430419922,0.353748083114624,True,Python,,,
brusselator,X(t),GP_RBF_Iso_Python,0.0,3,90.39259055778514,1.0714397430419922,0.353748083114624,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.0,0,2.6216129766567748e-08,4.823078155517578,0.4600508213043213,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.0,1,0.3061127757555957,4.823078155517578,0.4600508213043213,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.0,2,3.301843330931256,4.823078155517578,0.4600508213043213,True,Python,,,
brusselator,X(t),GP_Matern_1.5_Python,0.0,3,68.17460599262965,4.823078155517578,0.4600508213043213,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.0,0,8.814835402246334e-08,1.764004468917847,0.5809221267700195,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.0,1,0.2784295369576074,1.764004468917847,0.5809221267700195,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.0,2,2.1442188313119845,1.764004468917847,0.5809221267700195,True,Python,,,
brusselator,X(t),GP_Matern_2.5_Python,0.0,3,75.9273932913596,1.764004468917847,0.5809221267700195,True,Python,,,
brusselator,X(t),GP_Periodic_Python,0.0,0,0.8167513762789493,1.8291211128234863,0.6626043319702148,True,Python,,,
brusselator,X(t),GP_Periodic_Python,0.0,1,1.5525492465941058,1.8291211128234863,0.6626043319702148,True,Python,,,
