rank,t,d3_true,d3_gpr,error,relative_error
1,2.825,4.57899807855271,-82.38462286064131,86.96362093919403,18.991844820053025
2,2.8,4.419526564916573,-81.53858978135764,85.95811634627421,19.449620922891054
3,2.85,4.687114064845007,-80.68849018257033,85.37560424741534,18.214961928868384
4,2.775,4.209232124358015,-78.01417750112275,82.22340962548076,19.53406398038011
5,2.875,4.744922675853873,-76.72575473762353,81.4706774134774,17.170074831370428
